DateTime	PRE_CLOSE	OPEN	HIGH	LOW	CLOSE	VOLUME	AMT	DEALNUM	CHG	PCT_CHG	SWING	VWAP	ADJFACTOR	CLOSE2	TURN	FREE_TURN	LASTRADEDAY_S	LAST_TRADE_DAY	REL_IPO_CHG	REL_IPO_PCT_CHG	TRADE_STATUS	SUSP_DAYS	SUSP_REASON	MAXUPORDOWN	OPEN3	HIGH3	LOW3	CLOSE3
2015-01-26	14.4	14.36	14.44	14.16	14.34	105760580.0	1508446593.2	47025.0	-0.0600000000000005	-0.4166666567325592	1.9444444444444395	14.262843426161242	71.053697	14.34	1.0751618872978814	2.131802085386058	2015-01-26 00:00:00.005000	2015-01-26 00:00:00.005000	-25.66	2447.27503745	交易	0		0	14.36	14.44	14.16	14.34
2015-01-27	14.34	14.35	14.37	13.83	13.99	133949465.99999999	1881058964.6999998	61710.0	-0.34999999999999964	-2.440725326538086	3.7656903765690317	14.043049374306577	71.053697	13.99	1.3617300573342483	2.7000017488098957	2015-01-27 00:00:00.005000	2015-01-27 00:00:00.005000	-26.009999999999998	2385.1030525749998	交易	0		0	14.35	14.37	13.83	13.99
2015-01-28	13.99	13.87	14.3	13.8	14.06	124087755.0	1742175735.8999999	55381.0	0.07000000000000028	0.5003573894500732	3.5739814152966405	14.039868284344413	71.053697	14.06	1.2614759190650913	2.501220538691016	2015-01-28 00:00:00.005000	2015-01-28 00:00:00.005000	-25.939999999999998	2397.53744955	交易	0		0	13.87	14.3	13.8	14.06
2015-01-29	14.06	13.82	14.01	13.75	13.9	101675329.0	1408825355.9	43493.0	-0.16000000000000014	-1.1379801034927368	1.8492176386913215	13.856117995939803	71.053697	13.9	1.033631232159213	2.0494562188909478	2015-01-29 00:00:00.005000	2015-01-29 00:00:00.005000	-26.1	2369.11597075	交易	0		0	13.82	14.01	13.75	13.9
2015-01-30	13.9	13.93	14.12	13.76	13.93	93011669.0	1298735718.9	42061.0	0.02999999999999936	0.2158273309469223	2.589928057553953	13.963148203479717	71.053697	13.93	0.9455564784418339	1.8748239650296719	2015-01-30 00:00:00.005000	2015-01-30 00:00:00.005000	-26.07	2374.444998025	交易	0		0	13.93	14.12	13.76	13.93
2015-02-02	13.93	13.6	13.8	13.55	13.63	86093216.0	1176949559.7	36794.0	-0.29999999999999893	-2.153625249862671	1.7946877243359656	13.670642291954804	71.053697	13.63	0.8752234962979983	1.7353696188730467	2015-02-02 00:00:00.005000	2015-02-02 00:00:00.005000	-26.369999999999997	2321.154725275	交易	0		0	13.6	13.8	13.55	13.63
2015-02-03	13.63	13.78	13.99	13.62	13.95	88334914.0	1217876590.2	36730.0	0.3199999999999985	2.3477623462677	2.7146001467351506	13.787035443312936	71.053697	13.95	0.8980125945842585	1.7805552302908902	2015-02-03 00:00:00.005000	2015-02-03 00:00:00.005000	-26.05	2377.997682875	交易	0		0	13.78	13.99	13.62	13.95
2015-02-04	13.95	14.0	14.04	13.7	13.71	80762311.0	1122666755.3000002	36518.0	-0.23999999999999844	-1.7204301357269287	2.4372759856630815	13.900874571308394	71.053697	13.71	0.8210295245856106	1.627915268717299	2015-02-04 00:00:00.005000	2015-02-04 00:00:00.005000	-26.29	2335.365464675	交易	0		0	14.0	14.04	13.7	13.71
2015-02-05	13.71	14.3	14.43	13.76	13.79	191372916.0	2710523885.9	70932.0	0.0799999999999983	0.5835157036781311	4.8869438366156075	14.1635710138837	71.053697	13.79	1.94549675828422	3.857478669417386	2015-02-05 00:00:00.005000	2015-02-05 00:00:00.005000	-26.21	2349.5762040749996	交易	0		0	14.3	14.43	13.76	13.79
2015-02-06	13.79	13.69	13.95	13.4	13.51	103040856.0	1411298590.4	41861.0	-0.27999999999999936	-2.030456781387329	3.988397389412611	13.69649520768733	71.053697	13.51	1.0475131774594013	2.0769809668287045	2015-02-06 00:00:00.005000	2015-02-06 00:00:00.005000	-26.490000000000002	2299.838616175	交易	0		0	13.69	13.95	13.4	13.51
